# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 7.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
10            	3.549792e+00	-4.146140e+01	-1.053354e+00	3.023115e+00	-4.076469e+00
20            	-8.722297e-01	-5.434824e-01	-1.319243e+00	-1.531851e+00	2.126084e-01
30            	1.169855e-01	7.924378e-01	3.582613e-01	2.961161e-01	6.214512e-02
40            	8.001757e-02	5.116605e-01	4.364229e-01	2.982290e-01	1.381939e-01
50            	3.755310e-02	3.566550e-01	3.416937e-01	2.084000e-01	1.332937e-01
60            	5.547231e-02	3.106609e-01	3.773052e-01	2.441249e-01	1.331803e-01
70            	6.307360e-02	2.858453e-01	4.032671e-01	2.647072e-01	1.385600e-01
80            	6.743658e-02	2.661476e-01	4.266180e-01	2.807456e-01	1.458724e-01
90            	7.284788e-02	2.491166e-01	4.516970e-01	2.986964e-01	1.530006e-01
100           	7.860105e-02	2.378205e-01	4.756218e-01	3.164120e-01	1.592099e-01
110           	8.495705e-02	2.281652e-01	5.000617e-01	3.349879e-01	1.650738e-01
120           	9.338700e-02	2.190323e-01	5.286329e-01	3.577035e-01	1.709295e-01
130           	1.011478e-01	2.130016e-01	5.540310e-01	3.781633e-01	1.758677e-01
140           	1.090852e-01	2.084428e-01	5.787573e-01	3.984639e-01	1.802934e-01
150           	1.179443e-01	2.042983e-01	6.050881e-01	4.204883e-01	1.845997e-01
160           	1.250717e-01	2.013631e-01	6.259481e-01	4.380457e-01	1.879024e-01
170           	1.318303e-01	1.989216e-01	6.451358e-01	4.543982e-01	1.907376e-01
180           	1.391017e-01	1.964238e-01	6.649247e-01	4.715640e-01	1.933607e-01
190           	1.446016e-01	1.942279e-01	6.797332e-01	4.844682e-01	1.952650e-01
200           	1.495876e-01	1.924084e-01	6.930843e-01	4.961297e-01	1.969546e-01
